Rk,NAME,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
36,Anthony Davis,29,LAL,C,56,54,1904,542,962,.563,19,74,.257,523,888,.589,.573,348,444,.784,195,507,702,148,59,114,122,146,1451,0,0,davisan02
37,Nikola Vučević,32,CHI,C,82,82,2746,597,1148,.520,121,347,.349,476,801,.594,.573,132,158,.835,159,744,903,265,60,57,139,179,1447,1,0,vucevni01
39,RJ Barrett,22,NYK,SG,73,73,2475,510,1176,.434,121,390,.310,389,786,.495,.485,290,392,.740,60,308,368,201,31,15,164,179,1431,0,0,barrerj01
40,Keldon Johnson,23,SAS,SF,63,63,2063,503,1113,.452,134,407,.329,369,706,.523,.512,245,327,.749,56,262,318,183,46,11,134,125,1385,0,0,johnske04
41,Spencer Dinwiddie,29,2TM,SG,79,79,2725,460,1050,.438,181,490,.369,279,560,.498,.524,268,330,.812,28,242,270,515,67,24,145,187,1369,0,0,dinwisp01
42,Kevin Durant,34,2TM,PF,47,47,1672,483,862,.560,93,230,.404,390,632,.617,.614,307,334,.919,17,296,313,235,34,67,156,99,1366,1,AS,duranke01
43,Kyle Kuzma,27,WAS,PF,64,64,2239,512,1142,.448,160,481,.333,352,661,.533,.518,173,237,.730,55,408,463,239,36,29,190,145,1357,1,0,kuzmaky01
44,Tyler Herro,23,MIA,SG,67,67,2337,487,1109,.439,203,537,.378,284,572,.497,.531,170,182,.934,27,333,360,280,51,16,158,101,1347,1,0,herroty01
45,Buddy Hield,30,IND,SF,80,73,2482,475,1038,.458,288,677,.425,187,361,.518,.596,106,129,.822,67,333,400,225,92,26,139,156,1344,0,0,hieldbu01
46,Fred VanVleet,28,TOR,PG,69,69,2535,437,1112,.393,207,606,.342,230,506,.455,.486,254,283,.898,30,250,280,495,123,38,140,193,1335,1,0,vanvlfr01
47,Paul George,32,LAC,SF,56,56,1939,459,1004,.457,158,426,.371,301,578,.521,.536,256,294,.871,45,297,342,288,83,20,176,159,1332,1,AS,georgpa01
48,Terry Rozier,28,CHO,SG,63,63,2221,493,1188,.415,165,505,.327,328,683,.480,.484,178,220,.809,51,208,259,319,74,16,134,119,1329,0,0,roziete01
49,Anfernee Simons,23,POR,SG,62,62,2171,467,1045,.447,212,562,.377,255,483,.528,.548,160,179,.894,18,143,161,253,42,14,128,142,1306,0,0,simonan01
52,Jerami Grant,28,POR,PF,63,63,2246,434,913,.475,144,359,.401,290,554,.523,.554,278,342,.813,53,230,283,150,51,53,116,152,1290,0,0,grantje01
53,Jrue Holiday,32,MIL,PG,67,65,2183,490,1023,.479,158,411,.384,332,612,.542,.556,152,177,.859,79,262,341,495,79,25,197,116,1290,0,DPOY-7ASDEF1,holidjr01
54,Evan Mobley,21,CLE,PF,79,79,2715,525,947,.554,22,102,.216,503,845,.595,.566,205,304,.674,187,524,711,224,60,119,146,218,1277,0,DPOY-3DEF1,mobleev01
55,Bojan Bogdanović,33,DET,PF,59,59,1893,430,882,.488,145,353,.411,285,529,.539,.570,268,303,.884,36,187,223,152,34,8,135,113,1273,0,0,bogdabo02
56,Jordan Clarkson,30,UTA,SG,61,61,1988,458,1031,.444,155,459,.338,303,572,.530,.519,200,245,.816,72,174,246,270,33,13,186,120,1271,0,0,clarkjo01
57,D'Angelo Russell,26,2TM,PG,71,71,2304,445,948,.469,194,490,.396,251,458,.548,.572,179,216,.829,35,180,215,437,70,29,186,140,1263,0,0,russeda01
58,Josh Giddey,20,OKC,PF,76,76,2367,539,1118,.482,76,234,.325,463,884,.524,.516,106,145,.731,148,451,599,469,57,31,211,143,1260,4,0,giddejo01
59,Desmond Bane,24,MEM,SG,58,58,1841,450,939,.479,166,407,.408,284,532,.534,.568,181,205,.883,43,248,291,254,56,22,126,150,1247,0,0,banede01
61,Brook Lopez,34,MIL,C,78,78,2373,477,899,.531,136,364,.374,341,535,.637,.606,149,190,.784,157,363,520,99,37,193,107,203,1239,0,DPOY-2DEF1,lopezbr01
62,Harrison Barnes,30,SAC,PF,82,82,2662,374,791,.473,132,353,.374,242,438,.553,.556,350,413,.847,87,279,366,128,57,10,86,103,1230,0,0,barneha02
63,Tyrese Maxey,22,PHI,SG,60,41,2016,439,913,.481,160,369,.434,279,544,.513,.568,180,213,.845,23,153,176,212,49,8,80,132,1218,0,0,maxeyty01
64,James Harden,33,PHI,PG,58,58,2135,371,842,.441,161,418,.385,210,424,.495,.536,313,361,.867,40,314,354,618,71,31,195,112,1216,5,0,hardeja01
65,Immanuel Quickley,23,NYK,SG,81,21,2344,419,936,.448,168,454,.370,251,482,.521,.537,203,248,.819,58,279,337,279,80,14,100,166,1209,0,6MOY-2,quickim01
67,Deandre Ayton,24,PHO,C,67,67,2035,522,887,.589,7,24,.292,515,863,.597,.592,152,200,.760,172,495,667,115,37,53,120,190,1203,0,0,aytonde01
68,Scottie Barnes,21,TOR,SF,77,76,2678,463,1016,.456,63,224,.281,400,792,.505,.487,190,246,.772,179,333,512,371,83,61,154,170,1179,1,0,barnesc01
69,Jaren Jackson Jr.,23,MEM,C,63,63,1787,416,822,.506,100,282,.355,316,540,.585,.567,241,306,.788,108,318,426,60,65,189,107,227,1173,0,DPOY-1ASDEF1,jacksja02
70,Bradley Beal,29,WAS,SG,50,50,1673,444,878,.506,80,219,.365,364,659,.552,.551,192,228,.842,41,155,196,271,45,33,145,107,1160,0,0,bealbr01
71,Tyrese Haliburton,22,IND,PG,56,56,1883,412,841,.490,161,402,.400,251,439,.572,.586,175,201,.871,33,172,205,585,91,25,141,69,1160,0,AS,halibty01
72,Russell Westbrook,34,2TM,PG,73,24,2126,432,991,.436,89,286,.311,343,705,.487,.481,206,314,.656,89,334,423,551,76,33,255,162,1159,4,6MOY-9,westbru01
73,Trey Murphy III,22,NOP,SF,79,65,2448,387,800,.484,202,497,.406,185,303,.611,.610,172,190,.905,59,222,281,112,89,43,61,155,1148,0,0,murphtr02
74,Gary Trent Jr.,24,TOR,SG,66,44,2118,405,935,.433,166,450,.369,239,485,.493,.522,172,205,.839,30,143,173,106,104,14,55,102,1148,0,0,trentga02
75,P.J. Washington,24,CHO,PF,73,73,2380,434,978,.444,149,428,.348,285,550,.518,.520,127,174,.730,73,285,358,175,66,79,110,193,1144,0,0,washipj01
76,Kevin Huerter,24,SAC,SG,75,75,2203,420,866,.485,205,510,.402,215,356,.604,.603,95,131,.725,42,209,251,221,80,24,97,181,1140,0,0,huertke01
78,OG Anunoby,25,TOR,SF,67,67,2386,421,885,.476,142,367,.387,279,518,.539,.556,140,167,.838,95,237,332,131,128,50,132,200,1124,0,DPOY-7DEF2,anunoog01
79,Jonas Valančiūnas,30,NOP,C,79,79,1968,446,816,.547,38,109,.349,408,707,.577,.570,185,224,.826,225,579,804,140,20,52,159,245,1115,0,0,valanjo01
80,Christian Wood,27,DAL,C,67,17,1738,396,769,.515,105,279,.376,291,490,.594,.583,217,281,.772,87,404,491,121,30,72,121,169,1114,0,6MOY-9,woodch01
81,Myles Turner,26,IND,C,62,62,1825,402,733,.548,93,249,.373,309,484,.638,.612,216,276,.783,88,378,466,89,36,140,103,215,1113,0,0,turnemy01
82,Brandon Ingram,25,NOP,SF,45,45,1538,404,835,.484,64,164,.390,340,671,.507,.522,240,272,.882,23,223,246,262,32,19,148,116,1112,2,0,ingrabr01
83,Aaron Gordon,27,DEN,PF,68,68,2055,429,761,.564,60,173,.347,369,588,.628,.603,191,314,.608,164,282,446,203,54,51,98,129,1109,0,0,gordoaa01
84,Alperen Şengün,20,HOU,C,75,72,2171,442,799,.553,19,57,.333,423,742,.570,.565,206,288,.715,242,436,678,291,70,70,193,258,1109,2,0,sengual01
85,Tobias Harris,30,PHI,SF,74,74,2436,423,845,.501,126,324,.389,297,521,.570,.575,113,129,.876,67,357,424,186,68,40,89,149,1085,0,0,harrito02
86,Michael Porter Jr.,24,DEN,SF,62,62,1798,398,817,.487,188,454,.414,210,363,.579,.602,96,120,.800,64,277,341,65,37,29,68,119,1080,0,0,portemi01
87,Saddiq Bey,23,2TM,SF,77,37,2129,353,836,.422,151,418,.361,202,418,.483,.513,205,238,.861,98,264,362,118,70,13,71,123,1062,0,0,beysa01
89,Dillon Brooks,27,MEM,SF,73,73,2214,392,991,.396,143,439,.326,249,552,.451,.468,120,154,.779,45,199,244,189,65,16,104,240,1047,0,DEF2,brookdi01
90,Malik Monk,24,SAC,SG,77,0,1719,357,796,.448,143,398,.359,214,398,.538,.538,184,207,.889,32,171,203,298,49,20,146,125,1041,0,6MOY-5,monkma01
91,KJ Martin,22,HOU,SF,82,49,2292,410,720,.569,68,216,.315,342,504,.679,.617,151,222,.680,126,326,452,123,41,30,91,147,1039,0,0,martike04
92,De'Andre Hunter,25,ATL,SF,67,67,2126,379,822,.461,100,286,.350,279,536,.521,.522,171,207,.826,46,238,284,94,35,17,82,199,1029,0,0,huntede01
93,Malik Beasley,26,2TM,SG,81,27,2093,370,937,.395,235,658,.357,135,279,.484,.520,50,65,.769,35,248,283,124,65,9,90,107,1025,0,0,beaslma01
94,Tim Hardaway Jr.,30,DAL,SF,71,45,2152,340,847,.401,212,550,.385,128,297,.431,.527,127,165,.770,21,230,251,129,49,12,60,120,1019,0,0,hardati02
95,Norman Powell,29,LAC,SG,60,8,1567,340,710,.479,114,287,.397,226,423,.534,.559,225,277,.812,24,151,175,109,50,18,101,125,1019,0,6MOY-4,powelno01
96,Derrick White,28,BOS,SG,82,70,2319,350,758,.462,149,391,.381,201,367,.548,.560,168,192,.875,52,241,293,321,54,76,95,177,1017,0,DEF2,whitede01
97,Luguentz Dort,23,OKC,SF,74,73,2272,339,873,.388,135,409,.330,204,464,.440,.466,200,259,.772,128,216,344,154,75,23,92,243,1013,0,0,dortlu01
99,Malcolm Brogdon,30,BOS,PG,67,0,1744,354,732,.484,132,297,.444,222,435,.510,.574,160,184,.870,42,238,280,248,45,18,98,109,1000,0,6MOY-1,brogdma01
100,Bobby Portis,27,MIL,PF,70,22,1818,398,803,.496,95,257,.370,303,546,.555,.555,96,125,.768,154,518,672,105,29,16,81,115,987,0,6MOY-3,portibo01
102,Kelly Oubre Jr.,27,CHO,SF,48,40,1548,353,819,.431,108,339,.319,245,480,.510,.497,158,208,.760,65,184,249,54,68,18,64,141,972,0,0,oubreke01
103,Jarrett Allen,24,CLE,C,68,68,2220,403,626,.644,1,10,.100,402,616,.653,.645,162,221,.733,221,445,666,113,54,84,93,153,969,0,0,allenja01
104,Nic Claxton,23,BRK,C,76,76,2271,414,587,.705,0,2,.000,414,585,.708,.705,133,246,.541,184,518,702,144,65,189,96,212,961,0,DPOY-9,claxtni01
105,Jaden McDaniels,22,MIN,SF,79,79,2416,370,716,.517,107,269,.398,263,447,.588,.591,106,144,.736,92,215,307,148,74,76,112,272,953,0,0,mcdanja02
106,Rudy Gobert,30,MIN,C,70,70,2148,360,546,.659,0,3,.000,360,543,.663,.659,219,340,.644,231,583,814,87,56,95,122,210,939,0,0,goberru01
107,John Collins,25,ATL,PF,71,71,2130,359,707,.508,70,240,.292,289,467,.619,.557,143,178,.803,77,385,462,85,42,73,79,220,931,0,0,collijo01
108,Bruce Brown,26,DEN,SF,80,31,2280,358,741,.483,91,254,.358,267,487,.548,.545,116,153,.758,63,265,328,268,87,51,123,190,923,1,0,brownbr01
109,Max Strus,26,MIA,SF,80,33,2272,324,790,.410,197,563,.350,127,227,.559,.535,78,89,.876,49,209,258,171,42,12,70,166,923,0,0,strusma01
110,Caris LeVert,28,CLE,SG,74,30,2237,320,742,.431,127,324,.392,193,418,.462,.517,130,180,.722,53,229,282,287,72,24,116,170,897,0,0,leverca01
111,Jakob Poeltl,27,2TM,C,72,71,1906,389,618,.629,0,1,.000,389,617,.630,.629,119,201,.592,236,417,653,197,66,86,125,195,897,0,0,poeltja01
112,Tre Jones,23,SAS,PG,68,65,1984,341,743,.459,45,158,.285,296,585,.506,.489,148,172,.860,56,189,245,448,89,9,110,98,875,2,0,jonestr01
113,Wendell Carter Jr.,23,ORL,C,57,54,1690,322,613,.525,80,225,.356,242,388,.624,.591,144,195,.738,120,377,497,132,30,33,106,159,868,0,0,cartewe01
114,Mason Plumlee,32,2TM,C,79,60,2054,329,484,.680,0,0,0,329,484,.680,.680,199,313,.636,229,471,700,245,46,47,117,217,857,0,0,plumlma01
115,Eric Gordon,34,2TM,SG,69,58,1965,291,653,.446,132,356,.371,159,297,.535,.547,142,173,.821,16,118,134,183,43,25,104,78,856,0,0,gordoer01
116,Kelly Olynyk,31,UTA,C,68,68,1942,278,557,.499,93,236,.394,185,321,.576,.583,198,232,.853,82,338,420,252,60,37,168,232,847,0,0,olynyke01
117,LaMelo Ball,21,CHO,PG,36,36,1268,296,721,.411,144,383,.376,152,338,.450,.510,102,122,.836,42,189,231,304,46,11,129,118,838,3,0,ballla01
118,Markelle Fultz,24,ORL,PG,60,60,1778,349,679,.514,27,87,.310,322,592,.544,.534,112,143,.783,69,165,234,341,87,26,139,131,837,0,0,fultzma01
119,Austin Reaves,24,LAL,SG,64,22,1843,259,490,.529,86,216,.398,173,274,.631,.616,229,265,.864,33,160,193,215,33,19,99,108,833,0,6MOY-7,reaveau01
120,Patrick Williams,21,CHI,PF,82,65,2323,314,677,.464,115,277,.415,199,400,.498,.549,90,105,.857,78,249,327,100,72,70,101,147,833,0,0,willipa01
121,Dennis Schröder,29,LAL,PG,66,50,1986,270,650,.415,74,225,.329,196,425,.461,.472,216,252,.857,21,144,165,298,50,10,112,145,830,0,0,schrode01
122,Tyus Jones,26,MEM,PG,80,22,1940,311,710,.438,121,326,.371,190,384,.495,.523,80,100,.800,28,172,200,417,83,6,74,32,823,1,6MOY-6,jonesty01
123,Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,292,632,.462,135,319,.423,157,313,.502,.569,103,125,.824,35,173,208,183,112,35,86,145,822,0,0,caldwke01
124,Corey Kispert,23,WAS,SF,74,45,2093,291,585,.497,163,384,.424,128,201,.637,.637,75,88,.852,33,174,207,87,32,9,55,97,820,0,0,kispeco01
125,Chris Paul,37,PHO,PG,59,59,1889,294,668,.440,98,261,.375,196,407,.482,.513,133,160,.831,27,224,251,524,91,22,114,126,819,0,0,paulch01
126,Ivica Zubac,25,LAC,C,76,76,2170,326,514,.634,0,2,.000,326,512,.637,.634,166,238,.697,236,520,756,77,29,98,117,219,818,0,0,zubaciv01
127,Quentin Grimes,22,NYK,SG,71,66,2121,282,602,.468,157,407,.386,125,195,.641,.599,78,98,.796,49,180,229,150,47,26,69,177,799,0,0,grimequ01
128,Mike Conley,35,2TM,PG,67,66,2029,261,610,.428,135,351,.385,126,259,.486,.539,141,169,.834,33,149,182,450,73,14,103,139,798,0,0,conlemi01
129,Onyeka Okongwu,22,ATL,C,80,18,1849,317,497,.638,4,13,.308,313,484,.647,.642,153,196,.781,217,359,576,81,56,107,81,251,791,0,0,okongon01
131,Killian Hayes,21,DET,PG,76,56,2154,307,815,.377,80,286,.280,227,529,.429,.426,92,112,.821,28,193,221,470,104,28,173,219,786,0,0,hayeski01
132,Cole Anthony,22,ORL,PG,60,4,1552,277,610,.454,75,206,.364,202,404,.500,.516,152,170,.894,47,241,288,235,37,31,91,158,781,0,0,anthoco01
133,Naz Reid,23,MIN,C,68,11,1251,310,577,.537,75,217,.346,235,360,.653,.602,86,127,.677,73,260,333,77,42,53,92,176,781,0,0,reidna01
134,De'Anthony Melton,24,PHI,SG,77,58,2150,277,651,.425,157,403,.390,120,248,.484,.546,69,87,.793,69,243,312,197,126,41,102,191,780,0,0,meltode01
135,Clint Capela,28,ATL,C,65,63,1730,350,536,.653,0,1,.000,350,535,.654,.653,79,131,.603,258,459,717,58,45,79,54,139,779,0,0,capelca01
137,Bogdan Bogdanović,30,ATL,SG,54,9,1508,273,611,.447,146,360,.406,127,251,.506,.566,64,77,.831,23,142,165,150,43,18,65,86,756,0,0,bogdabo01
138,Jalen McDaniels,25,2TM,SF,80,24,1913,281,617,.455,77,232,.332,204,385,.530,.518,116,138,.841,63,283,346,130,83,34,93,209,755,0,0,mcdanja01
140,Grayson Allen,27,MIL,SG,72,70,1972,245,557,.440,146,366,.399,99,191,.518,.571,114,126,.905,61,176,237,163,62,14,72,117,750,0,0,allengr01
141,Josh Hart,27,2TM,SF,76,52,2454,275,520,.529,61,164,.372,214,356,.601,.588,132,176,.750,142,451,593,290,88,21,117,195,743,0,0,hartjo01
142,Aaron Nesmith,23,IND,SF,73,60,1816,252,590,.427,115,314,.366,137,276,.496,.525,119,142,.838,62,215,277,98,55,34,75,235,738,0,0,nesmiaa01
143,Gordon Hayward,32,CHO,SF,50,50,1577,276,581,.475,52,160,.325,224,421,.532,.520,129,159,.811,33,182,215,206,42,12,99,70,733,0,0,haywago01
144,Zach Collins,25,SAS,C,63,26,1441,284,548,.518,55,147,.374,229,401,.571,.568,108,142,.761,116,286,402,180,37,49,129,199,731,0,0,colliza01
145,Marcus Morris,33,LAC,PF,65,65,1825,274,643,.426,112,308,.364,162,335,.484,.513,68,87,.782,29,229,258,114,42,21,56,136,728,0,0,morrima03
146,Coby White,22,CHI,SG,74,2,1730,263,594,.443,128,344,.372,135,250,.540,.551,61,70,.871,16,196,212,204,54,6,74,122,715,0,0,whiteco01
147,Terance Mann,26,LAC,SG,81,36,1872,272,524,.519,77,198,.389,195,326,.598,.593,92,118,.780,77,199,276,184,42,22,80,149,713,0,0,mannte01
148,Chris Boucher,30,TOR,PF,76,0,1523,261,529,.493,62,189,.328,199,340,.585,.552,128,168,.762,157,264,421,29,47,64,41,143,712,0,0,bouchch01
150,Rui Hachimura,24,2TM,PF,63,9,1466,284,584,.486,51,160,.319,233,424,.550,.530,88,119,.739,53,230,283,58,19,26,53,72,707,0,0,hachiru01
151,Daniel Gafford,24,WAS,C,78,47,1604,289,395,.732,0,0,0,289,395,.732,.732,127,187,.679,163,270,433,84,33,99,85,187,705,0,0,gaffoda01
152,Jaylen Nowell,23,MIN,SG,65,2,1252,280,625,.448,67,232,.289,213,393,.542,.502,77,99,.778,36,134,170,132,42,5,65,101,704,0,0,nowelja01
153,Marcus Smart,28,BOS,PG,61,61,1957,250,602,.415,115,342,.336,135,260,.519,.511,88,118,.746,46,145,191,382,93,23,143,172,703,0,0,smartma01
154,Devin Vassell,22,SAS,SG,38,32,1178,261,595,.439,103,266,.387,158,329,.480,.525,78,100,.780,8,140,148,136,43,17,57,57,703,0,0,vassede01
155,Talen Horton-Tucker,22,UTA,SG,65,20,1313,257,613,.419,58,203,.286,199,410,.485,.467,126,168,.750,41,169,210,246,41,29,126,108,698,0,0,hortota01
156,Naji Marshall,25,NOP,SF,77,21,1792,247,571,.433,66,218,.303,181,353,.513,.490,138,175,.789,48,231,279,189,54,14,97,113,698,0,0,marshna01
157,Deni Avdija,22,WAS,SF,76,40,2020,253,579,.437,69,232,.297,184,347,.530,.497,122,165,.739,74,413,487,211,65,29,123,209,697,0,0,avdijde01
158,Santi Aldama,22,MEM,PF,77,20,1682,247,525,.470,94,266,.353,153,259,.591,.560,108,144,.750,85,286,371,97,45,48,60,143,696,0,0,aldamsa01
159,Jusuf Nurkić,28,POR,C,52,52,1391,262,505,.519,43,119,.361,219,386,.567,.561,127,192,.661,114,357,471,149,43,44,119,185,694,0,0,nurkiju01
160,Reggie Jackson,32,2TM,PG,68,40,1657,263,640,.411,96,288,.333,167,352,.474,.486,71,78,.910,25,119,144,233,47,6,115,114,693,0,0,jacksre01
161,Isaiah Joe,23,OKC,SG,73,10,1395,224,508,.441,161,394,.409,63,114,.553,.599,82,100,.820,27,148,175,88,48,8,39,105,691,0,0,joeis01
162,Ayo Dosunmu,23,CHI,SG,80,51,2098,281,570,.493,59,189,.312,222,381,.583,.545,66,82,.805,45,175,220,206,62,26,99,182,687,0,0,dosunay01
163,Collin Sexton,24,UTA,PG,48,15,1145,237,468,.506,48,122,.393,189,346,.546,.558,163,199,.819,37,68,105,138,27,6,85,112,685,0,0,sextoco01
164,Caleb Martin,27,MIA,SF,71,49,2077,254,548,.464,84,236,.356,170,312,.545,.540,91,113,.805,88,256,344,117,71,31,78,145,683,0,0,martica02
166,Donte DiVincenzo,26,GSW,SG,72,36,1894,235,540,.435,150,378,.397,85,162,.525,.574,58,71,.817,80,245,325,252,97,10,112,133,678,0,0,divindo01
168,Royce O'Neale,29,BRK,SF,76,53,2409,229,593,.386,163,419,.389,66,174,.379,.524,50,69,.725,55,329,384,283,65,49,114,239,671,1,0,onealro01
169,Cedi Osman,27,CLE,SF,77,2,1548,239,530,.451,116,312,.372,123,218,.564,.560,75,108,.694,25,151,176,115,35,11,52,122,669,0,0,osmande01
170,Jonathan Kuminga,20,GSW,PF,67,16,1394,261,497,.525,54,146,.370,207,351,.590,.579,90,138,.652,70,161,231,125,41,31,95,157,666,0,0,kuminjo01
